Assembly,Level,WGS,BioSample,Isolate,Taxonomy,BioProject,Accession,Tax ID,Year,City,Contigs,Genome Size,Longest Scaffold,N50,bases >= Q40,% GC,CDS,repeat_region,tRNA,tmRNA,AMX (P),CHL (P),CIP (P),PEF (P),SXT (P),AZM (P),CFM (P),CTR (P)
GCA_013278395.1,Contig,VXHM00000000,SAMN12740248,PGS-26,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740248,90370,2008,New Delhi,66,4968901,489024,185463,4968738,51.8,4832,1,72,1,R,S,R,R,S,S,S,S
GCA_013278385.1,Contig,VXHN00000000,SAMN12740249,PGS-27,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740249,90370,2008,New Delhi,60,4749437,488507,185482,4749257,52,4586,1,73,1,R,S,R,R,S,S,S,S
GCA_013278375.1,Contig,VXHO00000000,SAMN12740227,PGS-5,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740227,90370,1999,New Delhi,57,4724471,412730,161362,4721610,52,4557,1,69,1,S,R,R,R,S,S,S,S
GCA_013278345.1,Contig,VXHQ00000000,SAMN12740251,PGS-29,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740251,90370,2006,New Delhi,59,4774641,489024,185482,4774592,52,4622,1,73,1,R,S,R,R,S,S,S,S
GCA_013278335.1,Contig,VXHP00000000,SAMN12740250,PGS-28,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740250,90370,2015,New Delhi,69,4785771,466485,153675,4785663,52,4638,1,72,1,S,S,R,R,S,S,S,S
GCA_013278315.1,Contig,VXHS00000000,SAMN12740253,PGS-31,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740253,90370,2008,New Delhi,52,4833910,489024,185482,4833802,51.9,4690,1,74,1,S,S,R,R,S,S,S,S
GCA_013278295.1,Contig,VXHT00000000,SAMN12740254,PGS-32,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740254,90370,2014,New Delhi,57,4757683,489024,172177,4757033,52,4597,1,70,1,S,S,R,R,S,S,S,S
GCA_013278265.1,Contig,VXHU00000000,SAMN12740255,PGS-33,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740255,90370,2010,Vellore,54,4594312,488760,172187,4594147,52.1,4406,1,73,1,S,S,R,R,S,S,S,S
GCA_013278245.1,Contig,VXHW00000000,SAMN12740257,PGS-35,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740257,90370,2010,Vellore,48,4592703,489024,185482,4592554,52.1,4410,1,71,1,S,S,R,R,S,S,S,S
GCA_013278235.1,Contig,VXHV00000000,SAMN12740256,PGS-34,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740256,90370,2010,Vellore,57,4726371,489024,172185,4724864,52,4554,1,71,1,S,S,R,R,S,S,S,S
GCA_013278205.1,Contig,VXHX00000000,SAMN12740228,PGS-6,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740228,90370,1999,New Delhi,60,4728142,489024,161362,4727530,52,4559,1,70,1,S,S,S,S,S,S,S,S
GCA_013278195.1,Contig,VXHY00000000,SAMN12740258,PGS-36,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740258,90370,2010,Vellore,50,4725038,489024,185482,4724406,52,4561,1,72,1,S,S,R,R,S,S,S,S
GCA_013278155.1,Scaffold,VXIA00000000,SAMN12740260,PGS-38,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740260,90370,2010,Vellore,56,4725331,489017,153328,4724632,52,4557,1,69,1,S,S,R,R,S,S,S,S
GCA_013278135.1,Contig,VXIB00000000,SAMN12740261,PGS-39,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740261,90370,2012,Vellore,51,4726429,489024,185482,4725355,52,4554,1,72,1,S,S,R,R,S,S,S,S
GCA_013278145.1,Contig,VXHZ00000000,SAMN12740259,PGS-37,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740259,90370,2011,Vellore,53,4815880,489024,185482,4815425,51.9,4662,1,75,1,S,S,R,R,S,S,S,S
GCA_013278105.1,Contig,VXID00000000,SAMN12740229,PGS-7,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740229,90370,1999,New Delhi,53,4725159,489024,172207,4724207,52,4557,1,72,1,S,S,R,R,S,S,S,S
GCA_013278095.1,Contig,VXIE00000000,SAMN12740263,PGS-41,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740263,90370,2016,New Delhi,61,4726986,489024,173749,4725572,52,4558,1,72,1,S,S,R,R,S,S,S,S
GCA_013278045.1,Contig,VXIG00000000,SAMN12740265,PGS-43,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740265,90370,2012,Vellore,56,4727755,489024,172161,4726418,52,4556,1,70,1,S,S,R,R,S,S,S,S
GCA_013278055.1,Contig,VXII00000000,SAMN12740267,PGS-45,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740267,90370,2012,Vellore,55,4725119,489024,172215,4724900,52,4554,1,71,1,S,S,R,R,S,S,S,S
GCA_013278035.1,Contig,VXIF00000000,SAMN12740264,PGS-42,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740264,90370,2012,Vellore,60,4823554,489024,172177,4821734,51.9,4676,1,74,1,S,S,R,R,S,S,S,S
GCA_013278015.1,Contig,VXIH00000000,SAMN12740266,PGS-44,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740266,90370,2014,New Delhi,57,4723631,489024,173721,4721274,52,4556,1,71,1,S,S,R,R,S,S,S,S
GCA_013277995.1,Scaffold,VXIJ00000000,SAMN12740268,PGS-46,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740268,90370,2014,New Delhi,56,4733915,466485,183531,4733374,52.1,4573,1,72,1,S,S,R,R,S,S,S,S
GCA_013277945.1,Contig,VXIK00000000,SAMN12740269,PGS-47,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740269,90370,2010,New Delhi,64,4784370,466515,179231,4783621,52,4641,1,72,1,S,S,R,R,S,S,S,S
GCA_013277935.1,Contig,VXIN00000000,SAMN12740271,PGS-49,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740271,90370,2012,Vellore,54,4726580,489024,172161,4725886,52,4558,1,73,1,S,S,R,R,S,S,S,S
GCA_013277925.1,Scaffold,VXIM00000000,SAMN12740270,PGS-48,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740270,90370,2012,Vellore,61,4820866,489024,172185,4820375,51.9,4672,1,74,1,S,S,R,R,S,S,S,S
GCA_013277915.1,Contig,VXIL00000000,SAMN12740230,PGS-8,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740230,90370,2009,New Delhi,68,4937816,489024,161362,4936058,51.8,4792,1,70,1,R,R,R,R,R,S,S,S
GCA_013277895.1,Contig,VXIO00000000,SAMN12740272,PGS-50,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740272,90370,2010,Vellore,61,4685068,392895,134726,4679464,52.1,4517,1,69,1,S,S,R,R,S,S,S,S
GCA_013277825.1,Scaffold,VXIQ00000000,SAMN12740274,PGS-52,Salmonella enterica subsp. enterica serovar Typhi,PRJNA564922,SAMN12740274,90370,2012,Vellore,49,4757876,489024,185482,4756846,52,4600,1,71,1,S,S,R,R,S,S,S,S
