Accession,SAMPLE,BIOSAMPLE,N,Database,file
ERR855063,NA,NA,244,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855300,NA,NA,245,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082181,NA,NA,246,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855024,NA,NA,247,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855425,NA,NA,248,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855111,NA,NA,249,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855126,NA,NA,250,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854992,NA,NA,251,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082236,NA,NA,252,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855169,NA,NA,253,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082194,NA,NA,254,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082175,NA,NA,255,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082182,NA,NA,256,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855399,NA,NA,257,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082183,NA,NA,258,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067868,NA,NA,259,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR956685,NA,NA,260,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067725,NA,NA,261,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067836,NA,NA,262,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082246,NA,NA,263,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855315,NA,NA,264,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854908,NA,NA,265,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855372,NA,NA,266,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855250,NA,NA,267,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067863,NA,NA,268,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067758,NA,NA,269,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067750,NA,NA,270,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082162,NA,NA,271,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067795,NA,NA,272,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855217,NA,NA,273,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855404,NA,NA,274,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082160,NA,NA,275,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082224,NA,NA,276,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067812,NA,NA,277,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855254,NA,NA,278,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067866,NA,NA,279,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067791,NA,NA,280,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067879,NA,NA,281,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855428,NA,NA,282,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855089,NA,NA,283,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855041,NA,NA,284,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855368,NA,NA,285,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855360,NA,NA,286,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855103,NA,NA,287,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082187,NA,NA,288,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855216,NA,NA,289,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855297,NA,NA,290,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854901,NA,NA,291,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR971374,NA,NA,292,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855260,NA,NA,293,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855173,NA,NA,294,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR956673,NA,NA,295,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067835,NA,NA,296,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067857,NA,NA,297,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082223,NA,NA,298,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855179,NA,NA,299,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082172,NA,NA,300,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067800,NA,NA,301,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855395,NA,NA,302,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855311,NA,NA,303,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855339,NA,NA,304,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855362,NA,NA,305,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855398,NA,NA,306,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855284,NA,NA,307,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067751,NA,NA,308,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854917,NA,NA,309,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855330,NA,NA,310,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854931,NA,NA,311,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855421,NA,NA,312,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855030,NA,NA,313,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855004,NA,NA,314,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855224,NA,NA,315,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067816,NA,NA,316,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855302,NA,NA,317,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082163,NA,NA,318,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067787,NA,NA,319,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082238,NA,NA,320,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855329,NA,NA,321,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855129,NA,NA,322,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855401,NA,NA,323,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067779,NA,NA,324,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855282,NA,NA,325,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854904,NA,NA,326,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855168,NA,NA,327,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854990,NA,NA,328,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854971,NA,NA,329,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855363,NA,NA,330,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855064,NA,NA,331,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067825,NA,NA,332,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854907,NA,NA,333,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854884,NA,NA,334,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855385,NA,NA,335,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067813,NA,NA,336,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855006,NA,NA,337,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855190,NA,NA,338,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855146,NA,NA,339,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855034,NA,NA,340,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067781,NA,NA,341,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067730,NA,NA,342,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855042,NA,NA,343,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855154,NA,NA,344,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855001,NA,NA,345,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854924,NA,NA,346,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855207,NA,NA,347,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854981,NA,NA,348,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067786,NA,NA,349,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR971377,NA,NA,350,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082217,NA,NA,351,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854916,NA,NA,352,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854913,NA,NA,353,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082157,NA,NA,354,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855286,NA,NA,355,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR956679,NA,NA,356,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082191,NA,NA,357,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR956676,NA,NA,358,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855120,NA,NA,359,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067872,NA,NA,360,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067776,NA,NA,361,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855233,NA,NA,362,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854980,NA,NA,363,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855268,NA,NA,364,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082161,NA,NA,365,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067831,NA,NA,366,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067738,NA,NA,367,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854942,NA,NA,368,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067889,NA,NA,369,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854997,NA,NA,370,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067721,NA,NA,371,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855005,NA,NA,372,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067732,NA,NA,373,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082258,NA,NA,374,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855337,NA,NA,375,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855184,NA,NA,376,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855092,NA,NA,377,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR971380,NA,NA,378,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855031,NA,NA,379,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855219,NA,NA,380,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855410,NA,NA,381,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082197,NA,NA,382,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR956669,NA,NA,383,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067832,NA,NA,384,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855142,NA,NA,385,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067870,NA,NA,386,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855128,NA,NA,387,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854982,NA,NA,388,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855140,NA,NA,389,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854897,NA,NA,390,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854984,NA,NA,391,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067714,NA,NA,392,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067817,NA,NA,393,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855081,NA,NA,394,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855035,NA,NA,395,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR956678,NA,NA,396,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855423,NA,NA,397,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067874,NA,NA,398,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855296,NA,NA,399,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855364,NA,NA,400,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855203,NA,NA,401,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855132,NA,NA,402,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855087,NA,NA,403,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854968,NA,NA,404,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855116,NA,NA,405,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067715,NA,NA,406,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067748,NA,NA,407,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855091,NA,NA,408,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067853,NA,NA,409,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855379,NA,NA,410,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855038,NA,NA,411,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854966,NA,NA,412,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855393,NA,NA,413,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855299,NA,NA,414,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855294,NA,NA,415,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082218,NA,NA,416,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854876,NA,NA,417,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855209,NA,NA,418,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855259,NA,NA,419,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854978,NA,NA,420,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855027,NA,NA,421,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082226,NA,NA,422,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067842,NA,NA,423,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855380,NA,NA,424,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854895,NA,NA,425,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855074,NA,NA,426,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082213,NA,NA,427,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067822,NA,NA,428,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855010,NA,NA,429,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067729,NA,NA,430,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067881,NA,NA,431,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855241,NA,NA,432,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855267,NA,NA,433,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082156,NA,NA,434,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR355924,NA,NA,435,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855389,NA,NA,436,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067837,NA,NA,437,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR854976,NA,NA,438,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855195,NA,NA,439,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855086,NA,NA,440,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855293,NA,NA,441,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855057,NA,NA,442,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067719,NA,NA,443,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1067737,NA,NA,444,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855264,NA,NA,445,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR1082235,NA,NA,446,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
ERR855213,NA,NA,447,ENA,pathogenwatch-ngonorrhoeae-uzh2c7kc076l-grad-et-al-2016_Merged_Processed.csv
