run_accession,study_accession,NCBI BioSample Accession,tax_id,scientific_name,submitted_ftp,Study ID,Food Microbe Tracker IDb,Farm ID,Isolation Sourcec,Isolation Date (MM/DD/YY),NCBI Sequence Read Archive (SRA) Accession,Pulsed Field Gel Electrophoresis (PFGE) Type Number,Traditional Laboratory-Assigned Serotype,SeqSero2 Predicted Serotype,SISTR Serotype (Antigen),SISTR Serotype (cgMLST),WGS Phylogeny Serotype Clusterd,Used as a Reference for Within-Serotype SNP Calling (Serotype)e,Amikacin MIC,Amikacin  NARMS Breakpoint,Amikacin SIR,Amoxicillin/Clavulanic Acid MIC,Amoxicillin/Clavulanic Acid  NARMS Breakpoint,Amoxicillin/Clavulanic Acid SIR,Ampicillin MIC,Ampicillin  NARMS Breakpoint,Ampicillin SIR,Cefoxitin MIC,Cefoxitin  NARMS Breakpoint,Cefoxitin SIR,Ceftiofur MIC,Ceftiofur  NARMS Breakpoint,Ceftiofur SIR,Ceftriaxone MIC,Ceftriaxone  NARMS Breakpoint,Ceftriaxone SIR,Chloramphenicol MIC,Chloramphenicol  NARMS Breakpoint,Chloramphenicol SIR,Ciprofloxacin MIC,Ciprofloxacin  NARMS Breakpoint,Ciprofloxacin SIR,Gentamicin MIC,Gentamicin  NARMS Breakpoint,Gentamicin SIR,Kanamycin MIC,Kanamycin  NARMS Breakpoint,Kanamycin SIR,Nalidixic Acid MIC,Nalidixic Acid  NARMS Breakpoint,Nalidixic Acid SIR,Streptomycin MIC,Streptomycin  NARMS Breakpoint,Streptomycin SIR,Sulfamethoxazole/Trimethoprim MIC,Sulfamethoxazole/Trimethoprim  NARMS Breakpoint,Sulfamethoxazole/Trimethoprim SIR,Sulfisoxazole MICf,Sulfisoxazole  NARMS Breakpointf,Sulfisoxazole SIRf,Tetracycline MIC,Tetracycline  NARMS Breakpoint,Tetracycline SIR,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp,Marker lineage,Completeness,Contamination
SRR15539720,PRJNA756552,SAMN20884476,58712,Salmonella enterica subsp. enterica serovar Anatum,NA,ENV_ANAT_39_12-03-08_R8-2860,FSL R8-2860,39,Farm environment,03/12/2008,NA,CU-424,Anatum* (Untypeable),Anatum,Anatum|Hayindogo,Anatum,Anatum,No (Not Applicable),0.5,16;32;64,S,1,8;16;32,S,1,8;16;32,S,2,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,1,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,52,30,26,24,21,19,4687473,4680465,4668058,4657251,4610484,4544807,52,904444,4687473,52.18,387088,209168,5,9,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539721,PRJNA756552,SAMN20884475,486999,Salmonella enterica subsp. enterica serovar Meleagridis,NA,ENV_MELA_01_NA-NA-NA_R8-0346,FSL R8-0346,1,Farm environment,NA/NA/NA,NA,PFGE not performed,Meleagridis (Kentucky),Meleagridis,Meleagridis|Calabar,Meleagridis,Meleagridis,No (Not Applicable),0.5,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.25,2;4,S,32,256;512,S,4,4;8;16,S,68,41,34,32,28,22,4808178,4800286,4783115,4767220,4689044,4473015,68,693654,4808178,52.12,240426,133222,6,13,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539722,PRJNA756552,SAMN20884474,340188,Salmonella enterica subsp. enterica serovar Cerro,NA,ENV_CERO_62_10-14-08_R8-2818,FSL R8-2818,62,Farm environment,14/10/2008,NA,CU-213,Cerro,Cerro,Cerro,Cerro,Cerro,No (Not Applicable),2,16;32;64,S,1,8;16;32,S,1,8;16;32,S,1,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,1,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.25,2;4,S,32,256;512,S,4,4;8;16,S,80,42,31,27,27,23,4657164,4646403,4626248,4595928,4595928,4446138,80,622540,4657164,52.23,222643,142832,7,13,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539723,PRJNA756552,SAMN20884473,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,ENV_KENT_14_10-11-07_R6-0798,FSL R6-0798,14,Farm environment,11/10/2007,NA,CU-96,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,No (Not Applicable),2,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,105,78,62,53,43,30,4730563,4720259,4684529,4609546,4438007,3991136,105,259310,4730563,52.13,144457,71762,11,23,0,f__Enterobacteriaceae (UID5139),100,0.36
SRR15539724,PRJNA756552,SAMN20884472,340188,Salmonella enterica subsp. enterica serovar Cerro,NA,ENV_CERO_62_11-12-08_R8-2852,FSL R8-2852,62,Farm environment,12/11/2008,NA,CU-213,Cerro,Cerro,Cerro,Cerro,Cerro,No (Not Applicable),4,16;32;64,S,1,8;16;32,S,1,8;16;32,S,2,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.12,2;4,S,64,256;512,S,4,4;8;16,S,80,49,40,33,32,25,4671657,4660381,4645132,4592541,4575409,4337150,80,412340,4671657,52.22,210326,132390,8,15,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539725,PRJNA756552,SAMN20884471,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,ENV_KENT_42_04-23-08_R8-0914,FSL R8-0914,42,Farm environment,23/04/2008,NA,CU-96,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,1,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,64,35,26,25,23,17,4730945,4719426,4700597,4695293,4661168,4453339,64,745842,4730945,52.14,484623,163078,4,8,0,f__Enterobacteriaceae (UID5139),100,0.33
SRR15539726,PRJNA756552,SAMN20884470,108619,Salmonella enterica subsp. enterica serovar Newport,NA,ENV_NEWP_17_02-12-08_R8-0341,FSL R8-0341,17,Farm environment,12/02/2008,NA,CU-121,Newport,Newport,Newport|Bardo|Ferruch|Kottbus,Newport,Newport,No (Not Applicable),1,16;32;64,S,32,8;16;32,R,32,8;16;32,R,32,8;16;32,R,8,2;4;8,R,32,1;2;4,R,32,8;16;32,R,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,64,16;32;64,R,2,16;32,S,64,32;64,R,0.12,2;4,S,256,256;512,R,32,4;8;16,R,118,57,32,28,23,18,4979910,4959689,4906954,4882649,4801949,4611499,118,921665,4979910,52.17,351992,177337,5,9,0,f__Enterobacteriaceae (UID5139),99.9,0.22
SRR15539727,PRJNA756552,SAMN20884407,486999,Salmonella enterica subsp. enterica serovar Meleagridis,NA,ENV_MELA_11_08-25-08_R8-2010,FSL R8-2010,11,Farm environment,25/08/2008,NA,CU-175,Meleagridis,Meleagridis,Meleagridis|Calabar,Meleagridis,Meleagridis,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,139,95,79,73,51,29,4808024,4792610,4758213,4713792,4321378,3536598,139,371265,4808024,52.12,93958,47242,14,31,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539728,PRJNA756552,SAMN20884469,58712,Salmonella enterica subsp. enterica serovar Anatum,NA,BOV_ANAT_56_04-19-08_R8-0969,FSL R8-0969,56,Bovine,19/04/2008,NA,CU-430,Anatum,Anatum,Anatum|Hayindogo,Anatum,Anatum,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,68,37,32,32,29,25,4763024,4753148,4742111,4742111,4681642,4546408,68,396790,4763024,52.16,251370,131904,8,16,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539729,PRJNA756552,SAMN20884468,90371,Salmonella enterica subsp. enterica serovar Typhimurium,NA,BOV_TYPH_25_11-20-07_R6-0979,FSL R6-0979,25,Bovine,20/11/2007,NA,CU-67,Typhimurium Copenhagen,Typhimurium,Typhimurium|Lagos,Typhimurium,Typhimurium/Typhimurium Copenhagen,No (Not Applicable),0.5,16;32;64,S,4,8;16;32,S,8,8;16;32,S,32,8;16;32,R,4,2;4;8,I,0.25,1;2;4,S,32,8;16;32,R,0.06,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,0.75,16;32;64,S,16,16;32,S,4,32;64,S,0.12,2;4,S,16,256;512,S,4,4;8;16,S,74,48,39,35,29,23,4853115,4841701,4824089,4796342,4690469,4475042,74,512427,4853115,52.12,266898,149673,7,14,0,f__Enterobacteriaceae (UID5139),100,0.07
SRR15539730,PRJNA756552,SAMN20884467,486999,Salmonella enterica subsp. enterica serovar Meleagridis,NA,BOV_MELA_01_10-30-07_R6-0803,FSL R6-0803,1,Bovine,30/10/2007,NA,PFGE not performed,Meleagridis,Meleagridis,Meleagridis|Calabar,Meleagridis,Meleagridis,No (Not Applicable),4,16;32;64,S,8,8;16;32,S,4,8;16;32,S,16,8;16;32,I,2,2;4;8,S,0.25,1;2;4,S,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,1,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.25,2;4,S,256,256;512,R,8,4;8;16,I,76,51,42,38,31,25,4806662,4799659,4779594,4748725,4610015,4399053,76,455351,4806662,52.12,207110,116835,8,16,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539731,PRJNA756552,SAMN20884466,90371,Salmonella enterica subsp. enterica serovar Typhimurium,NA,BOV_TYPH_22_01-18-08_R8-0229,FSL R8-0229,22,Bovine,18/01/2008,NA,CU-71,Typhimurium,Typhimurium,Typhimurium|Lagos,Typhimurium,Typhimurium/Typhimurium Copenhagen,No (Not Applicable),4,16;32;64,S,32,8;16;32,R,32,8;16;32,R,4,8;16;32,S,2,2;4;8,S,0.25,1;2;4,S,16,8;16;32,I,0.03,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.25,2;4,S,256,256;512,R,4,4;8;16,S,276,107,90,82,58,38,4814337,4734792,4700417,4643439,4184339,3533854,276,223347,4814337,52.14,75386,45335,21,40,0,f__Enterobacteriaceae (UID5139),100,0.35
SRR15539732,PRJNA756552,SAMN20884465,486999,Salmonella enterica subsp. enterica serovar Meleagridis,NA,ENV_MELA_11_10-30-08_R8-2836,FSL R8-2836,11,Farm environment,30/10/2008,NA,CU-175,Meleagridis,Meleagridis,Meleagridis|Calabar,Meleagridis,Meleagridis,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,99,65,52,47,35,27,4808199,4797204,4762487,4724698,4513619,4242607,99,787333,4808199,52.12,151910,81929,8,18,0,f__Enterobacteriaceae (UID5139),100,0.13
SRR15539733,PRJNA756552,SAMN20884464,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,ENV_KENT_14_02-14-08_R8-0344,FSL R8-0344,14,Farm environment,14/02/2008,NA,CU-96,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,69,42,32,31,28,21,4731185,4720264,4697139,4691835,4633651,4378631,69,717867,4731185,52.14,274410,127924,5,12,0,f__Enterobacteriaceae (UID5139),100,0.33
SRR15539734,PRJNA756552,SAMN20884463,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,BOV_KENT_16_05-21-08_R8-1485,FSL R8-1485,16,Bovine,21/05/2008,NA,CU-96,Kentucky* (Untypeable Rough O:i:z6),Kentucky,Kentucky,Kentucky,Kentucky,Yes (Kentucky),4,16;32;64,S,1,8;16;32,S,1,8;16;32,S,2,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,59,34,27,25,23,17,4729612,4720507,4706628,4695670,4661545,4453749,59,745842,4729612,52.13,484740,163079,4,8,0,f__Enterobacteriaceae (UID5139),100,0.33
SRR15539735,PRJNA756552,SAMN20884462,70803,Salmonella enterica subsp. enterica serovar Minnesota,NA,ENV_MINN_62_09-03-08_R8-2025,FSL R8-2025,62,Farm environment,03/09/2008,NA,CU-523,Minnesota,Minnesota,Minnesota,Minnesota,Minnesota,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,73,54,44,40,36,24,4500185,4492133,4471363,4442164,4374738,3972626,73,412843,4500185,52.27,170040,110796,9,18,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539736,PRJNA756552,SAMN20884461,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,ENV_KENT_19_04-28-08_R8-0916,FSL R8-0916,19,Farm environment,28/04/2008,NA,CU-96,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,1,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.12,2;4,S,64,256;512,S,4,4;8;16,S,66,40,30,29,27,21,4730404,4719822,4698473,4693169,4659045,4451366,66,717873,4730404,52.14,250052,128156,5,11,0,f__Enterobacteriaceae (UID5139),100,0.33
SRR15539737,PRJNA756552,SAMN20884460,58712,Salmonella enterica subsp. enterica serovar Anatum,NA,ENV_ANAT_39_01-09-08_R8-0187,FSL R8-0187,39,Farm environment,09/01/2008,NA,CU-424,Anatum,Anatum,Anatum|Hayindogo,Anatum,Anatum,No (Not Applicable),2,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.12,2;4,S,16,256;512,S,4,4;8;16,S,57,31,26,24,22,16,4689066,4680229,4667334,4656527,4624409,4433232,57,1093803,4689066,52.18,403051,272805,4,7,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539738,PRJNA756552,SAMN20884406,58712,Salmonella enterica subsp. enterica serovar Anatum,NA,ENV_ANAT_56_02-22-08_R8-0350,FSL R8-0350,56,Farm environment,22/02/2008,NA,CU-430,Anatum,Anatum,Anatum|Hayindogo,Anatum,Anatum,No (Not Applicable),0.5,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,98,58,53,49,39,29,4767516,4753861,4743323,4707399,4531304,4158351,98,380544,4767516,52.15,159492,81767,10,21,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539739,PRJNA756552,SAMN20884459,486999,Salmonella enterica subsp. enterica serovar Meleagridis,NA,ENV_MELA_11_10-30-08_R8-2834,FSL R8-2834,11,Farm environment,30/10/2008,NA,CU-175,"3,10:e,h:-",Meleagridis,Meleagridis|Calabar,Meleagridis,Meleagridis,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,63,33,26,25,25,20,4807747,4799837,4783758,4777573,4777573,4603771,63,616388,4807747,52.12,303325,158028,6,12,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539740,PRJNA756552,SAMN20884458,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,ENV_KENT_17_09-10-08_R8-2033,FSL R8-2033,17,Farm environment,10/09/2008,NA,CU-96,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,1,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,135,99,74,67,55,35,4731626,4716529,4661938,4612442,4414453,3676549,135,249101,4731626,52.12,89791,59020,17,33,0,f__Enterobacteriaceae (UID5139),100,0.33
SRR15539741,PRJNA756552,SAMN20884457,486999,Salmonella enterica subsp. enterica serovar Meleagridis,NA,ENV_MELA_01_05-08-08_R8-1381,FSL R8-1381,1,Farm environment,08/05/2008,NA,CU-175,Meleagridis,Meleagridis,Meleagridis|Calabar,Meleagridis,Meleagridis,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,70,31,26,25,24,17,4810070,4798434,4787460,4781275,4759785,4511548,70,641156,4810070,52.12,411168,158706,5,9,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539742,PRJNA756552,SAMN20884456,90371,Salmonella enterica subsp. enterica serovar Typhimurium,NA,ENV_TCOP_25_07-29-08_R8-1642,FSL R8-1642,25,Farm environment,29/07/2008,NA,CU-1031,Typhimurium Copenhagen,Typhimurium O5- (Typhimurium Copenhagen),Typhimurium|Lagos,Typhimurium,Typhimurium/Typhimurium Copenhagen,No (Not Applicable),2,16;32;64,S,8,8;16;32,S,32,8;16;32,R,2,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,64,16;32;64,R,2,16;32,S,64,32;64,R,0.25,2;4,S,256,256;512,R,32,4;8;16,R,189,148,116,98,64,36,5247116,5229456,5148348,5030949,4445742,3463449,189,246674,5247116,52.1,73518,36602,22,48,0,f__Enterobacteriaceae (UID5139),100,0.22
SRR15539743,PRJNA756552,SAMN20884455,486999,Salmonella enterica subsp. enterica serovar Meleagridis,NA,BOV_MELA_01_10-02-07_R6-0951,FSL R6-0951,1,Bovine,02/10/2007,NA,PFGE not performed,Meleagridis,Meleagridis,Meleagridis|Calabar,Meleagridis,Meleagridis,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,64,37,30,28,27,18,4807314,4799789,4785868,4770103,4748597,4436202,64,682779,4807314,52.12,244890,209283,6,11,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539744,PRJNA756552,SAMN20884454,90371,Salmonella enterica subsp. enterica serovar Typhimurium,NA,ENV_TYPH_25_10-19-07_R6-0793,FSL R6-0793,25,Farm environment,19/10/2007,NA,CU-67,Typhimurium,Typhimurium,Typhimurium|Lagos,Typhimurium,Typhimurium/Typhimurium Copenhagen,No (Not Applicable),2,16;32;64,S,4,8;16;32,S,8,8;16;32,S,32,8;16;32,R,4,2;4;8,I,0.25,1;2;4,S,32,8;16;32,R,0.12,0.06;0.12 - 0.5;1,I,0.25,4;8;16,S,0.75,16;32;64,S,16,16;32,S,4,32;64,S,0.12,2;4,S,16,256;512,S,8,4;8;16,I,84,59,50,47,39,29,4851730,4842507,4825013,4806530,4671871,4288341,84,453548,4851730,52.11,191687,74326,9,20,0,f__Enterobacteriaceae (UID5139),100,0.07
SRR15539745,PRJNA756552,SAMN20884453,108619,Salmonella enterica subsp. enterica serovar Newport,NA,ENV_NEWP_35_11-05-08_R8-2843,FSL R8-2843,35,Farm environment,05/11/2008,NA,CU-126,Newport,Newport,Newport|Bardo|Ferruch|Kottbus,Newport,Newport,No (Not Applicable),1,16;32;64,S,32,8;16;32,R,32,8;16;32,R,32,8;16;32,R,8,2;4;8,R,32,1;2;4,R,32,8;16;32,R,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,8,16;32;64,S,2,16;32,S,64,32;64,R,0.12,2;4,S,256,256;512,R,32,4;8;16,R,212,161,124,106,69,35,4905713,4885806,4797932,4670246,3992626,2848902,212,221553,4905713,52.22,55609,28692,28,58,0,f__Enterobacteriaceae (UID5139),100,0.24
SRR15539746,PRJNA756552,SAMN20884452,58712,Salmonella enterica subsp. enterica serovar Anatum,NA,ENV_ANAT_39_04-17-08_R8-0905,FSL R8-0905,39,Farm environment,17/04/2008,NA,CU-424,Anatum,Anatum,Anatum|Hayindogo,Anatum,Anatum,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,4,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,4,16;32,S,32,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,45,24,19,17,17,14,4688147,4680271,4667327,4656520,4656520,4567183,45,1496727,4688147,52.18,468753,375130,3,6,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539747,PRJNA756552,SAMN20884451,486999,Salmonella enterica subsp. enterica serovar Meleagridis,NA,ENV_MELA_01_10-22-08_R8-2829,FSL R8-2829,1,Farm environment,22/10/2008,NA,CU-175,Meleagridis* (Untypeable),Meleagridis,Meleagridis|Calabar,Meleagridis,Meleagridis,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,2,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.25,4;8;16,S,8,16;32;64,S,2,16;32,S,32,32;64,S,0.12,2;4,S,16,256;512,S,4,4;8;16,S,75,47,40,37,31,25,4807257,4799304,4785403,4761983,4653658,4414324,75,428844,4807257,52.12,207050,107295,8,16,0,f__Enterobacteriaceae (UID5139),100,0.04
SRR15539748,PRJNA756552,SAMN20884450,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,BOV_KENT_16_04-03-08_R8-0967,FSL R8-0967,16,Bovine,03/04/2008,NA,CU-96,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,No (Not Applicable),NA,16;32;64,S,NA,8;16;32,S,NA,8;16;32,S,NA,8;16;32,S,NA,2;4;8,S,NA,1;2;4,S,NA,8;16;32,S,NA,0.06;0.12 - 0.5;1,S,NA,4;8;16,S,NA,16;32;64,S,NA,16;32,S,NA,32;64,S,NA,2;4,S,NA,256;512,S,NA,4;8;16,S,86,67,57,53,45,27,4730060,4722405,4702177,4674896,4529774,3855974,86,439994,4730060,52.13,167924,59433,10,22,0,f__Enterobacteriaceae (UID5139),100,0.33
SRR15539749,PRJNA756552,SAMN20884405,192955,Salmonella enterica subsp. enterica serovar Kentucky,NA,ENV_KENT_17_10-11-07_R6-1000,FSL R6-1000,17,Farm environment,11/10/2007,NA,CU-96,Kentucky (Newport),Kentucky,Kentucky,Kentucky,Kentucky,No (Not Applicable),1,16;32;64,S,1,8;16;32,S,1,8;16;32,S,1,8;16;32,S,0.5,2;4;8,S,0.25,1;2;4,S,4,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,1,16;32;64,S,2,16;32,S,8,32;64,S,0.12,2;4,S,32,256;512,S,4,4;8;16,S,114,85,67,59,48,30,4732446,4720961,4676991,4612592,4405438,3736784,114,287403,4732446,52.13,97808,62157,13,27,0,f__Enterobacteriaceae (UID5139),100,0.33
SRR15539750,PRJNA756552,SAMN20884449,90371,Salmonella enterica subsp. enterica serovar Typhimurium,NA,BOV_TYPH_22_01-18-08_R8-0273,FSL R8-0273,22,Bovine,18/01/2008,NA,CU-71,Typhimurium,Typhimurium,Typhimurium|Lagos,Typhimurium,Typhimurium/Typhimurium Copenhagen,No (Not Applicable),4,16;32;64,S,1,8;16;32,S,1,8;16;32,S,2,8;16;32,S,1,2;4;8,S,0.25,1;2;4,S,8,8;16;32,S,0.015,0.06;0.12 - 0.5;1,S,0.5,4;8;16,S,1.5,16;32;64,S,4,16;32,S,8,32;64,S,0.12,2;4,S,16,256;512,S,4,4;8;16,S,68,47,40,36,31,25,4744226,4735714,4722871,4694903,4601000,4354856,68,719839,4744226,52.19,187899,91027,7,15,0,f__Enterobacteriaceae (UID5139),100,0.04
